Industry,Packaging_Material,Material_Type,Packaged_Item,Strength,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Packaging_Cost_INR,Strength_Encoded,CO2_Impact_Index,Cost_per_kg,Cost_Efficiency_Index,Material_Suitability_Score,Log_Packaging_Cost,Sustainability_Tier
Food,Corn Starch Foam,Bioplastic,Salt,Low,3.23,84,19,74,7.6,1,82.5,2.3529,95.099,73.691,2.1518,Good
Automotive,Molded Pulp,Paper,Car Wax,Medium,10.28,75,34,90,5.31,2,70.5,0.5165,98.924,81.714,1.8421,Excellent
Construction,Kraft Paper,Paper,Waterproofing Chemical,Medium,13.03,64,44,87,5.23,2,60.0,0.4014,99.164,77.874,1.8294,Excellent
Electronics,Molded Pulp,Paper,Mobile Phone,Medium,9.9,81,35,94,1.32,2,73.0,0.1333,99.722,83.664,0.8416,Excellent
Healthcare,Glassine Paper,Paper,Bandages,Low,5.2,60,52,80,15.64,1,54.0,3.0077,93.734,66.3,2.8118,Good
Electronics,Corn Starch Foam,Bioplastic,Mouse,Low,2.72,85,22,71,12.05,1,81.5,4.4301,90.771,71.559,2.5688,Good
Healthcare,Kraft Paper,Paper,Tablets,Medium,17.14,63,43,84,1.99,2,60.0,0.1161,99.758,77.273,1.0953,Excellent
Construction,Tin Container,Metal,Rust Remover,High,14.61,20,72,97,94.64,3,24.0,6.4778,86.506,73.076,4.5606,Good
Electronics,Corrugated Cardboard,Cardboard,Hard Drive,High,42.92,68,38,93,54.8,3,65.0,1.2768,97.34,87.085,4.0218,Excellent
Textiles,Sbs Board,Cardboard,Pillow Covers,Medium,17.25,63,40,90,26.05,2,61.5,1.5101,96.854,78.497,3.2977,Excellent
Home Appliances,Wheat Straw Pulp Box,Agricultural Waste,Vacuum Cleaner,Medium,7.18,87,25,81,39.39,2,81.0,5.4861,88.572,80.026,3.6986,Excellent
Toys,Recycled Cardboard Box,Recycled Cardboard,Clay Kit,High,46.72,74,36,94,11.63,3,69.0,0.2489,99.482,89.071,2.5361,Excellent
Textiles,Recycled Kraft Paper,Paper,Towels,Medium,14.23,69,38,87,13.02,2,65.5,0.915,98.094,79.257,2.6405,Excellent
Toys,Pla Bioplastic,Bioplastic,Building Blocks,Medium,7.33,86,25,69,34.79,2,80.5,4.7462,90.113,77.262,3.5777,Excellent
Cosmetics,Cork Packaging,Natural Material,Sunscreen,Medium,9.49,89,19,83,4.09,2,85.0,0.431,99.102,84.359,1.6273,Excellent
Cosmetics,Cotton Bag,Natural Fiber,Hand Cream,Medium,10.44,88,22,88,13.31,2,83.0,1.2749,97.344,84.569,2.661,Excellent
Healthcare,Pha Bioplastic,Bioplastic,Blood Glucose Strips,Medium,6.33,89,22,69,38.04,2,83.5,6.0095,87.481,77.504,3.6646,Excellent
Electronics,Molded Pulp,Paper,Webcam,Medium,11.28,78,35,89,1.05,2,71.5,0.0931,99.806,81.985,0.7178,Excellent
Construction,Stone Paper,Paper,Tile Cleaner,Medium,11.78,56,49,87,1.0,2,53.5,0.0849,99.823,76.089,0.6931,Excellent
Furniture,Molded Pulp,Paper,Storage Ottoman,Medium,9.61,77,38,95,1.47,2,69.5,0.153,99.681,82.854,0.9042,Excellent
Healthcare,Kraft Paper,Paper,Supplements,Medium,16.06,68,42,83,10.74,2,63.0,0.6687,98.607,77.635,2.463,Excellent
Toys,Bamboo Container,Natural Fiber,Scooter,High,13.66,91,18,83,57.62,3,86.5,4.2182,91.213,89.503,4.0711,Excellent
Toys,Bamboo Container,Natural Fiber,Toy Cars,High,14.93,91,23,79,39.76,3,84.0,2.6631,94.452,88.563,3.7077,Excellent
Automotive,Tin Container,Metal,Engine Oil,High,15.09,20,71,97,33.21,3,24.5,2.2008,95.415,75.454,3.5325,Excellent
Electronics,Corrugated Cardboard,Cardboard,Usb Charger,High,42.58,73,41,91,10.72,3,66.0,0.2518,99.475,87.419,2.4613,Excellent
Furniture,Cork Packaging,Natural Material,Rocking Chair,Medium,11.48,88,19,88,16.05,2,84.5,1.3981,97.088,84.955,2.8362,Excellent
Home Appliances,Honeycomb Board,Cardboard,Juicer,High,44.65,75,35,92,21.06,3,70.0,0.4717,99.017,88.754,3.0938,Excellent
Automotive,Steel Can,Metal,Fuel Injector,High,21.01,16,74,96,5.68,3,21.0,0.2703,99.437,75.159,1.8991,Excellent
Construction,Tin Container,Metal,Rust Remover,High,12.98,21,74,99,7.4,3,23.5,0.5701,98.812,76.503,2.1282,Excellent
Furniture,Cork Packaging,Natural Material,Bed Frame,Medium,11.16,91,23,88,11.54,2,84.0,1.0341,97.846,84.995,2.5289,Excellent
Textiles,Hemp Fiber Bag,Natural Fiber,Cotton T-Shirt,Medium,13.54,93,22,85,86.32,2,85.5,6.3752,86.719,81.913,4.4696,Excellent
Furniture,Molded Pulp,Paper,Mattress,Medium,10.37,75,34,94,6.53,2,70.5,0.6297,98.688,82.655,2.0189,Excellent
Furniture,Corrugated Cardboard,Cardboard,Bean Bag,High,54.06,69,38,90,48.88,3,65.5,0.9042,98.116,86.679,3.9096,Excellent
Toys,Kraft Paper,Paper,Paint Set,Medium,14.19,63,46,82,5.75,2,58.5,0.4052,99.156,76.172,1.9095,Excellent
Healthcare,Glassine Paper,Paper,Diagnostic Kits,Low,5.8,64,51,82,1.31,1,56.5,0.2259,99.529,68.999,0.8372,Good
Healthcare,Glassine Paper,Paper,Cotton Swabs,Low,5.2,62,49,83,0.55,1,56.5,0.1058,99.78,69.312,0.4383,Good
Home Appliances,Honeycomb Board,Cardboard,Air Purifier,High,42.54,75,37,89,44.46,3,69.0,1.0451,97.823,87.406,3.8168,Excellent
Automotive,Steel Can,Metal,Car Led Lights,High,18.24,19,77,95,25.63,3,21.0,1.4052,97.073,74.318,3.282,Good
Toys,Rpet Tray,Recycled Plastic,Wooden Blocks,Medium,11.04,13,75,77,11.18,2,19.0,1.0127,97.89,62.756,2.4998,Good
Textiles,Hemp Fiber Bag,Natural Fiber,Saree,Medium,10.83,89,17,87,11.51,2,86.0,1.0628,97.786,85.33,2.5265,Excellent
Automotive,Corrugated Cardboard,Cardboard,Exhaust Gasket,High,46.21,70,37,93,29.69,3,66.5,0.6425,98.662,87.866,3.4239,Excellent
Healthcare,Pha Bioplastic,Bioplastic,Capsules,Medium,7.16,89,26,69,3.75,2,81.5,0.5237,98.909,79.761,1.5581,Excellent
Textiles,Kraft Paper,Paper,Kurta,Medium,16.07,68,46,87,4.17,2,61.0,0.2595,99.459,78.248,1.6429,Excellent
Healthcare,Recycled Glass Jar,Recycled Glass,Injections,High,23.23,35,53,98,37.25,3,41.0,1.6035,96.66,80.965,3.6441,Excellent
Cosmetics,Amber Glass Bottle,Glass,Perfume,High,30.43,36,59,97,99.24,3,38.5,3.2613,93.206,79.102,4.6076,Excellent
Electronics,Recycled Cardboard Box,Recycled Cardboard,Smart Watch,High,39.64,71,36,94,8.63,3,67.5,0.2177,99.546,88.636,2.2649,Excellent
Healthcare,Sbs Board,Cardboard,Ointments,Medium,16.35,69,45,84,10.26,2,62.0,0.6275,98.693,77.607,2.4213,Excellent
Furniture,Honeycomb Board,Cardboard,Shoe Rack,High,34.82,74,35,93,39.39,3,69.5,1.1312,97.644,88.511,3.6986,Excellent
Textiles,Sbs Board,Cardboard,Towels,Medium,15.82,68,45,90,32.51,2,61.5,2.055,95.719,78.213,3.5118,Excellent
Home Appliances,Wood Wool Cushioning,Natural Fiber,Table Fan,Low,8.38,82,23,90,15.87,1,79.5,1.8938,96.055,77.03,2.8255,Excellent
Cosmetics,Sbs Board,Cardboard,Foundation,Medium,20.67,63,42,86,1.79,2,60.5,0.0866,99.82,77.938,1.026,Excellent
Construction,Recycled Cardboard Box,Recycled Cardboard,Floor Leveling Compound,High,51.08,73,36,95,1.15,3,68.5,0.0225,99.953,89.288,0.7655,Excellent
Textiles,Kraft Paper,Paper,Salwar Kameez,Medium,15.33,65,44,85,0.55,2,60.5,0.0359,99.925,77.715,0.4383,Excellent
Electronics,Hemp Fiber Bag,Natural Fiber,Mouse,Medium,13.13,92,18,87,24.82,2,87.0,1.8903,96.062,85.199,3.2511,Excellent
Automotive,Kraft Paper,Paper,Oil Filter,Medium,13.39,66,43,85,0.81,2,61.5,0.0605,99.874,78.002,0.5933,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Cabinet,High,48.74,73,38,91,1.43,3,67.5,0.0293,99.939,87.985,0.8879,Excellent
Textiles,Recycled Kraft Paper,Paper,Jacket,Medium,13.16,72,36,90,10.21,2,68.0,0.7758,98.384,80.829,2.4168,Excellent
Healthcare,Amber Glass Bottle,Glass,First Aid Kit,High,30.37,36,59,93,44.77,3,38.5,1.4742,96.929,79.032,3.8236,Excellent
Automotive,Tin Container,Metal,Timing Belt,High,14.76,21,70,96,73.15,3,25.5,4.956,89.676,74.069,4.3061,Good
Automotive,Aluminum Can,Metal,Cleaning Spray,High,9.0,22,74,96,33.91,3,24.0,3.7678,92.151,74.238,3.5528,Good
Electronics,Wheat Straw Pulp Box,Agricultural Waste,Cctv Camera,Medium,7.02,89,19,84,4.28,2,85.0,0.6097,98.73,84.516,1.6639,Excellent
Toys,Kraft Paper,Paper,Clay Kit,Medium,15.73,66,43,87,14.26,2,61.5,0.9065,98.112,78.061,2.7252,Excellent
Toys,Bamboo Container,Natural Fiber,Bamboo Toys,High,16.93,93,21,80,6.5,3,86.0,0.3839,99.2,90.6,2.0149,Excellent
Food,Corrugated Cardboard,Cardboard,Baby Food,High,50.91,73,38,93,20.88,3,67.5,0.4101,99.146,88.286,3.0856,Excellent
Food,Glass Jar,Glass,Yogurt,High,26.92,33,56,92,58.57,3,38.5,2.1757,95.468,78.417,4.0872,Excellent
Healthcare,Glass Vial,Glass,Injections,Medium,5.3,38,55,98,24.57,2,41.5,4.6358,90.343,72.869,3.2414,Good
Cosmetics,Cork Packaging,Natural Material,Face Mask,Medium,11.22,86,23,84,13.15,2,81.5,1.172,97.559,83.173,2.6497,Excellent
